0x0	0xd
0x31dfB0x2312B0x2616B0x470	0x31e6B0x2312B0x2616B0x470
0x31dfB0x2312B0x2627B0x470	0x31e6B0x2312B0x2627B0x470
0x319aB0x2082B0x2605B0x470	0x31a1B0x2082B0x2605B0x470
0x213eB0x2655B0x470	0x215fB0x2655B0x470
0x2ff2B0x2655B0x470	0x3005B0x2655B0x470
0x229eB0x2655B0x470	0x22acB0x2655B0x470
0x2166B0x2655B0x470	0x216fB0x2655B0x470
0x211aB0x2655B0x470	0x2127B0x2655B0x470
0x2f9dB0x2139B0x2655B0x470	0x2fbcB0x2139B0x2655B0x470
0x2f9dB0x22b0B0x2655B0x470	0x2fbcB0x22b0B0x2655B0x470
0x319aB0x2082B0x22baB0x2655B0x470	0x31a1B0x2082B0x22baB0x2655B0x470
0x31f6B0x233cB0x22caB0x2655B0x470	0x31fdB0x233cB0x22caB0x2655B0x470
0x31c8B0x2235B0x22deB0x2655B0x470	0x31cfB0x2235B0x22deB0x2655B0x470
0x31c8B0x2235B0x22f2B0x2655B0x470	0x31cfB0x2235B0x22f2B0x2655B0x470
0x654B0x1ef	0x661B0x1ef
0x5b7B0x1ef	0x5c3B0x1ef
0x5fdB0x1ef	0x611B0x1ef
0x615B0x1ef	0x630B0x1ef
0x683B0x1ef	0x68eB0x1ef
0x662B0x1ef	0x675B0x1ef
0x64aB0x1ef	0x654B0x1ef
0xa830x5b7B0x1ef	0xadb0x5b7B0x1ef
0xce2B0x455	0xcefB0x455
0xc45B0x455	0xc51B0x455
0xc8bB0x455	0xc9fB0x455
0xca3B0x455	0xcbeB0x455
0xd11B0x455	0xd1cB0x455
0xcf0B0x455	0xd03B0x455
0xcd8B0x455	0xce2B0x455
0x9f10xc45B0x455	0xa3c0xc45B0x455
0x95f0xc45B0x455	0x9b70xc45B0x455
