0x0	0xd
0x34beB0x345aB0x15d8B0x60f	0x34c7B0x345aB0x15d8B0x60f
0x34beB0x345aB0x16a5B0x60f	0x34c7B0x345aB0x16a5B0x60f
0x34beB0x345aB0x1631B0x60f	0x34c7B0x345aB0x1631B0x60f
0x34beB0x345aB0x154bB0x60f	0x34c7B0x345aB0x154bB0x60f
0x1999B0x14c9B0x60f	0x19a1B0x14c9B0x60f
0x17ddB0x14c9B0x60f	0x17e2B0x14c9B0x60f
0x17f9B0x14c9B0x60f	0x1805B0x14c9B0x60f
0x1858B0x14c9B0x60f	0x18a2B0x14c9B0x60f
0x18a3B0x14c9B0x60f	0x18a9B0x14c9B0x60f
0x18c0B0x14c9B0x60f	0x18d3B0x14c9B0x60f
0x1902B0x14c9B0x60f	0x1918B0x14c9B0x60f
0x191cB0x14c9B0x60f	0x1927B0x14c9B0x60f
0x1969B0x14c9B0x60f	0x197fB0x14c9B0x60f
0x1983B0x14c9B0x60f	0x1991B0x14c9B0x60f
0x1994B0x14c9B0x60f	0x1999B0x14c9B0x60f
0x34a9B0x2c76B0x14c9B0x60f	0x34b2B0x2c76B0x14c9B0x60f
0x3491B0x2c76B0x14c9B0x60f	0x349aB0x2c76B0x14c9B0x60f
0x34beB0x345aB0x1a16B0x14c9B0x60f	0x34c7B0x345aB0x1a16B0x14c9B0x60f
0x1999B0x1795B0x60f	0x19a1B0x1795B0x60f
0x17ddB0x1795B0x60f	0x17e2B0x1795B0x60f
0x17f9B0x1795B0x60f	0x1805B0x1795B0x60f
0x1858B0x1795B0x60f	0x18a2B0x1795B0x60f
0x18a3B0x1795B0x60f	0x18a9B0x1795B0x60f
0x18c0B0x1795B0x60f	0x18d3B0x1795B0x60f
0x1902B0x1795B0x60f	0x1918B0x1795B0x60f
0x191cB0x1795B0x60f	0x1927B0x1795B0x60f
0x1969B0x1795B0x60f	0x197fB0x1795B0x60f
0x1983B0x1795B0x60f	0x1991B0x1795B0x60f
0x1994B0x1795B0x60f	0x1999B0x1795B0x60f
0x34a9B0x2c76B0x1795B0x60f	0x34b2B0x2c76B0x1795B0x60f
0x3491B0x2c76B0x1795B0x60f	0x349aB0x2c76B0x1795B0x60f
0x34beB0x345aB0x1a16B0x1795B0x60f	0x34c7B0x345aB0x1a16B0x1795B0x60f
