0x0	0xd
0x4b2dB0x4bd2B0x4c67B0x47c	0x4b3dB0x4bd2B0x4c67B0x47c
0x4b01B0x4bd2B0x4c67B0x47c	0x4b13B0x4bd2B0x4c67B0x47c
0x4aaeB0x4b1aB0x4bd2B0x4c67B0x47c	0x4acfB0x4b1aB0x4bd2B0x4c67B0x47c
0x9640xc07B0x5e7	0x9780xc07B0x5e7
0x93b0xc07B0x5e7	0x9430xc07B0x5e7
0x9340xc07B0x5e7	0x93b0xc07B0x5e7
0x16edB0x11c4	0x16f2B0x11c4
0x4971B0x521fB0x11c4	0x497aB0x521fB0x11c4
0x4971B0x5257B0x11c4	0x497aB0x5257B0x11c4
0x4971B0x4992B0x49beB0x1716B0x11c4	0x497aB0x4992B0x49beB0x1716B0x11c4
0x173cB0x11ceB0x2a6	0x174bB0x11ceB0x2a6
0xc6dB0x650	0xc79B0x650
0xc80B0x650	0xca0B0x650
0xca7B0x650	0xd09B0x650
0xd10B0x650	0xd28B0x650
0xc64B0x650	0xc6dB0x650
0x4971B0x4992B0x501dB0x650	0x497aB0x4992B0x501dB0x650
0x188aB0x137c	0x1899B0x137c
0x19f6B0x137c	0x1a05B0x137c
0x1a05B0x137c	0x1a52B0x137c
0x250bB0x137c	0x251dB0x137c
0x2845B0x137c	0x2857B0x137c
0x1955B0x137c	0x196dB0x137c
0x189dB0x137c	0x18a8B0x137c
0x18e3B0x137c	0x18eaB0x137c
0x1935B0x137c	0x1940B0x137c
0x18fdB0x137c	0x1905B0x137c
0x1974B0x137c	0x1981B0x137c
0x19abB0x137c	0x19c0B0x137c
0x19d8B0x137c	0x19e9B0x137c
0x19f0B0x137c	0x19f6B0x137c
0x1a8bB0x137c	0x1a97B0x137c
0x1ad8B0x137c	0x1b4aB0x137c
0x1badB0x137c	0x1bc3B0x137c
0x1bc7B0x137c	0x1bd2B0x137c
0x1bdbB0x137c	0x1beaB0x137c
0x1881B0x137c	0x188aB0x137c
0x235cB0x137c	0x2373B0x137c
0x237aB0x137c	0x2380B0x137c
0x256cB0x137c	0x259aB0x137c
0x249dB0x137c	0x24b3B0x137c
0x24e0B0x137c	0x250bB0x137c
0x2686B0x137c	0x26b4B0x137c
0x5726B0x137c	0x5735B0x137c
0x274eB0x137c	0x27ecB0x137c
0x2819B0x137c	0x2845B0x137c
0x4a69B0x137c	0x4a85B0x137c
0x1a97B0x137c	0x1aa2B0x137c
0x2380B0x137c	0x23b1B0x137c
0x1c3fB0x1852B0x137c	0x1c4bB0x1852B0x137c
0x5294B0x18afB0x137c	0x52a7B0x18afB0x137c
0x52abB0x18afB0x137c	0x52c1B0x18afB0x137c
0x52c5B0x18afB0x137c	0x52d6B0x18afB0x137c
0x52fdB0x18f0B0x137c	0x5309B0x18f0B0x137c
0x5294B0x190cB0x137c	0x52a7B0x190cB0x137c
0x52abB0x190cB0x137c	0x52c1B0x190cB0x137c
0x52c5B0x190cB0x137c	0x52d6B0x190cB0x137c
0x5294B0x1988B0x137c	0x52a7B0x1988B0x137c
0x52abB0x1988B0x137c	0x52c1B0x1988B0x137c
0x52c5B0x1988B0x137c	0x52d6B0x1988B0x137c
0x570dB0x24bcB0x137c	0x571bB0x24bcB0x137c
0x570dB0x27f5B0x137c	0x571bB0x27f5B0x137c
0x4feaB0x1a5bB0x137c	0x4ff8B0x1a5bB0x137c
0x48f3B0x4ffcB0x1a5bB0x137c	0x4904B0x4ffcB0x1a5bB0x137c
0x4feaB0x1b53B0x137c	0x4ff8B0x1b53B0x137c
0x48f3B0x4ffcB0x1b53B0x137c	0x4904B0x4ffcB0x1b53B0x137c
0x4971B0x4992B0x5491B0x137c	0x497aB0x4992B0x5491B0x137c
0x50f9B0x1bf1B0x137c	0x5101B0x1bf1B0x137c
0x50bcB0x1bf1B0x137c	0x50ceB0x1bf1B0x137c
0x50e9B0x1bf1B0x137c	0x50f9B0x1bf1B0x137c
0x514dB0x1bf1B0x137c	0x5157B0x1bf1B0x137c
0x512eB0x1bf1B0x137c	0x5137B0x1bf1B0x137c
0x5080B0x50e3B0x1bf1B0x137c	0x509bB0x50e3B0x1bf1B0x137c
0x50a9B0x50e3B0x1bf1B0x137c	0x50b2B0x50e3B0x1bf1B0x137c
0x5076B0x50e3B0x1bf1B0x137c	0x5080B0x50e3B0x1bf1B0x137c
0x48f3B0x4fdfB0x5741B0x137c	0x4904B0x4fdfB0x5741B0x137c
0x48f3B0x4fdfB0x574aB0x137c	0x4904B0x4fdfB0x574aB0x137c
0x48f3B0x4fdfB0x5762B0x137c	0x4904B0x4fdfB0x5762B0x137c
0x48f3B0x4fdfB0x5773B0x137c	0x4904B0x4fdfB0x5773B0x137c
0x49d1B0x55e7B0x5784B0x137c	0x49dcB0x55e7B0x5784B0x137c
0x49d1B0x55e7B0x579fB0x137c	0x49dcB0x55e7B0x579fB0x137c
0x48f3B0x4fdfB0x57b0B0x137c	0x4904B0x4fdfB0x57b0B0x137c
0x4971B0x4992B0x49beB0x19c0B0x137c	0x497aB0x4992B0x49beB0x19c0B0x137c
0x2ee5B0x232fB0x137c	0x2f1eB0x232fB0x137c
0x3351B0x232fB0x137c	0x3370B0x232fB0x137c
0x2a84B0x232fB0x137c	0x2ad3B0x232fB0x137c
0x2b96B0x232fB0x137c	0x2bc6B0x232fB0x137c
0x2ae8B0x232fB0x137c	0x2b74B0x232fB0x137c
0x57ceB0x232fB0x137c	0x57dcB0x232fB0x137c
